NO_OF_FRAMES	775
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:00:59.078	683793.93011830
DATA_INCLUDED	3D
MARKER_NAMES	h23_3g
TRAJECTORY_TYPES	Measured
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
1106	2.21000	326.970	393.608	195.080
1107	2.21200	326.910	392.440	195.072
1108	2.21400	326.842	391.241	195.069
1109	2.21600	326.774	390.049	195.080
1110	2.21800	326.693	388.874	195.063
1111	2.22000	326.605	387.700	195.074
1112	2.22200	326.558	386.517	195.101
1113	2.22400	326.476	385.344	195.115
1114	2.22600	326.403	384.169	195.130
1115	2.22800	326.328	382.979	195.149
1116	2.23000	326.261	381.796	195.155
1117	2.23200	326.215	380.628	195.135
1118	2.23400	326.141	379.429	195.121
1119	2.23600	326.094	378.246	195.132
1120	2.23800	326.041	377.071	195.130
1121	2.24000	325.994	375.896	195.130
1122	2.24200	325.947	374.704	195.134
1123	2.24400	325.894	373.512	195.113
1124	2.24600	325.841	372.345	195.102
1125	2.24800	325.794	371.155	195.111
1126	2.25000	325.734	369.988	195.103
1127	2.25200	325.608	368.797	195.083
1128	2.25400	325.542	367.622	195.066
1129	2.25600	325.475	366.448	195.076
1130	2.25800	325.416	365.273	195.062
1131	2.26000	325.369	364.091	195.065
1132	2.26200	325.296	362.917	195.079
1133	2.26400	325.243	361.744	195.095
1134	2.26600	325.176	360.562	195.101
1135	2.26800	325.123	359.371	195.097
1136	2.27000	325.056	358.188	195.080
1137	2.27200	324.990	357.024	195.113
1138	2.27400	324.915	355.858	195.097
1139	2.27600	324.848	354.685	195.096
1140	2.27800	324.754	353.502	195.058
1141	2.28000	324.687	352.337	195.071
1142	2.28200	324.619	351.164	195.075
1143	2.28400	324.545	349.991	195.054
1144	2.28600	324.462	348.810	195.050
1145	2.28800	324.402	347.636	195.032
1146	2.29000	324.342	346.479	195.038
1147	2.29200	324.246	345.307	195.048
1148	2.29400	324.126	344.102	195.037
1149	2.29600	324.031	342.921	195.037
1150	2.29800	323.950	341.742	195.066
1151	2.30000	323.860	340.554	195.060
1152	2.30200	323.785	339.364	195.054
1153	2.30400	323.724	338.176	195.076
1154	2.30600	323.657	337.012	195.082
1155	2.30800	323.582	335.818	195.120
1156	2.31000	323.502	334.636	195.105
1157	2.31200	323.456	333.463	195.104
1158	2.31400	323.396	332.291	195.103
1159	2.31600	323.343	331.118	195.104
1160	2.31800	323.278	329.936	195.069
1161	2.32000	323.211	328.765	195.098
1162	2.32200	323.159	327.600	195.088
1163	2.32400	323.093	326.429	195.094
1164	2.32600	323.026	325.247	195.065
1165	2.32800	322.981	324.075	195.074
1166	2.33000	322.914	322.904	195.085
1167	2.33200	322.855	321.722	195.059
1168	2.33400	322.751	320.525	195.035
1169	2.33600	322.663	319.338	195.052
1170	2.33800	322.603	318.166	195.043
1171	2.34000	322.544	316.960	195.015
1172	2.34200	322.483	315.788	195.009
1173	2.34400	322.431	314.616	195.003
1174	2.34600	322.385	313.428	195.002
1175	2.34800	322.318	312.248	194.988
1176	2.35000	322.272	311.068	194.976
1177	2.35200	322.226	309.896	194.977
1178	2.35400	322.167	308.707	194.955
1179	2.35600	322.128	307.529	194.973
1180	2.35800	322.083	306.383	194.985
1181	2.36000	322.016	305.196	194.994
1182	2.36200	321.964	304.017	194.990
1183	2.36400	321.912	302.856	195.009
1184	2.36600	321.858	301.677	195.008
1185	2.36800	321.793	300.489	194.996
1186	2.37000	321.719	299.318	194.982
1187	2.37200	321.673	298.156	194.982
1188	2.37400	321.607	296.962	194.989
1189	2.37600	321.542	295.791	194.979
1190	2.37800	321.482	294.613	194.986
1191	2.38000	321.411	293.445	195.004
1192	2.38200	321.292	292.257	194.974
1193	2.38400	321.209	291.072	194.974
1194	2.38600	321.144	289.911	194.982
1195	2.38800	321.062	288.726	194.985
1196	2.39000	320.981	287.533	194.978
1197	2.39200	320.942	286.372	194.992
1198	2.39400	320.874	285.189	195.025
