NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:22:16
DATA_INCLUDED	Velocity
DATA_TYPES	Pucky - 1_vel_X	Pucky - 1_vel_Y	Pucky - 1_vel_Z

Frame	Time	Pucky - 1_vel_X	Pucky - 1_vel_Y	Pucky - 1_vel_Z	
3258	6.51400	-99.433	34.569	-0.622
3259	6.51600	-99.188	34.379	-0.396
3260	6.51800	-99.117	34.333	-0.180
3261	6.52000	-99.108	34.338	-0.256
3262	6.52200	-99.368	34.217	-0.255
3263	6.52400	-99.288	34.100	0.064
3264	6.52600	-98.870	34.277	-0.036
3265	6.52800	-98.672	34.439	-0.164
3266	6.53000	-98.654	34.595	0.013
3267	6.53200	-98.823	34.591	0.309
3268	6.53400	-98.989	34.554	0.592
3269	6.53600	-98.645	34.850	0.554
3270	6.53800	-98.447	35.104	0.340
3271	6.54000	-98.550	35.209	0.788
3272	6.54200	-98.597	35.302	1.245
3273	6.54400	-98.624	35.307	0.750
3274	6.54600	-98.457	35.339	0.468
3275	6.54800	-98.490	35.313	0.847
3276	6.55000	-98.722	34.993	1.260
3277	6.55200	-99.046	34.748	1.214
3278	6.55400	-99.131	34.721	1.010
3279	6.55600	-98.773	34.663	1.138
3280	6.55800	-98.359	34.491	1.194
3281	6.56000	-98.542	34.582	1.159
3282	6.56200	-99.174	34.696	1.044
3283	6.56400	-99.005	34.584	1.345
3284	6.56600	-98.476	34.725	1.591
3285	6.56800	-98.313	34.971	1.180
3286	6.57000	-98.639	34.990	0.791
3287	6.57200	-98.754	34.983	0.911
3288	6.57400	-98.547	34.881	1.169
3289	6.57600	-98.601	34.745	0.986
3290	6.57800	-98.503	35.014	0.154
3291	6.58000	-98.584	34.907	-0.439
3292	6.58200	-98.454	34.424	-0.447
3293	6.58400	-98.216	34.432	-0.875
3294	6.58600	-98.317	34.587	-1.300
3295	6.58800	-98.193	34.417	-1.378
3296	6.59000	-97.911	34.158	-1.308
3297	6.59200	-98.054	34.185	-0.811
3298	6.59400	-98.188	34.329	-0.853
3299	6.59600	-98.025	34.200	-0.794
3300	6.59800	-97.855	34.075	-0.462
3301	6.60000	-97.696	34.052	-0.599
3302	6.60200	-97.878	34.278	-0.667
3303	6.60400	-97.934	34.457	-0.590
3304	6.60600	-97.744	34.142	-0.495
3305	6.60800	-97.841	33.960	-0.912
3306	6.61000	-97.798	34.113	-1.448
3307	6.61200	-97.665	34.133	-1.590
3308	6.61400	-97.351	33.957	-1.281
3309	6.61600	-97.320	33.904	-0.994
3310	6.61800	-97.611	34.099	-1.248
3311	6.62000	-97.437	34.509	-1.706
3312	6.62200	-97.173	34.632	-1.218
3313	6.62400	-96.797	34.647	-0.180
3314	6.62600	-97.079	34.847	-0.060
3315	6.62800	-97.654	34.917	-0.190
3316	6.63000	-97.172	35.004	0.129
3317	6.63200	-96.417	34.920	0.809
3318	6.63400	-96.456	34.896	1.099
